id,title,public_type,specific_type,decision,confidence,current_subjects,proposed_subjects,add,remove,taxonomy_gap,rationale,summary,source_path
augmented-instruments,Augmented Instruments,organization,organization,change,high,instruments,computation|instruments,computation,,,"Adds Computation because the record explicitly concerns algorithms, programming, formal processing, or machine computation.","British embedded audio platform maker, founded 2016 from Queen Mary University of London research.",content/library/organization/augmented-instruments/index.md
bbc-radiophonic-workshop,BBC Radiophonic Workshop,organization,organization,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","BBC department for electronic sound and music, founded 1958 at Maida Vale Studios.",content/library/organization/bbc-radiophonic-workshop/index.md
bell-labs,Bell Labs,organization,organization,retain,high,computation|sound|instruments,computation|sound|instruments,,,Information,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",American research laboratory where Max Mathews developed the first computer music software.,content/library/organization/bell-labs/index.md
biological-computer-laboratory,Biological Computer Laboratory,organization,organization,change,medium,cybernetics|computation|perception,morphogenesis|cybernetics|computation|perception,morphogenesis,,,"Adds Morphogenesis because the record explicitly concerns the production, emergence, or transformation of form.","University of Illinois research center, founded 1958 by Heinz von Foerster, central to second-order cybernetics.",content/library/organization/biological-computer-laboratory/index.md
blacet,Blacet Research,organization,organization,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Frac Rack-format modular synthesizer manufacturer founded by John Blacet in 1978, serving the DIY electronic music community.",content/library/organization/blacet/index.md
broken-flag,Broken Flag,organization,organization,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",UK power electronics label founded by Gary Mundy of Ramleh in the mid-1980s.,content/library/organization/broken-flag/index.md
buchla-and-associates,Buchla & Associates,organization,organization,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",American synthesizer manufacturer founded by Don Buchla in 1962.,content/library/organization/buchla-and-associates/index.md
ccrma,CCRMA,organization,organization,retain,high,computation|sound,computation|sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Stanford's Center for Computer Research in Music and Acoustics, founded 1974.",content/library/organization/ccrma/index.md
cemamu,CEMAMu,organization,organization,retain,high,sound|computation|number,sound|computation|number,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Iannis Xenakis's Paris research center for music and mathematics, formalized 1972, birthplace of the UPIC system.",content/library/organization/cemamu/index.md
center-for-experimental-music-and-intermedia,Center for Experimental Music and Intermedia (CEMI),organization,organization,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","University of North Texas center, founded 1963 as the Electronic Music Center by Merrill Ellis.",content/library/organization/center-for-experimental-music-and-intermedia/index.md
claem,CLAEM,organization,organization,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Latin American composition institute at Buenos Aires's Instituto Torcuato Di Tella, founded 1962 by Alberto Ginastera.",content/library/organization/claem/index.md
club-d-essai,Club d'Essai,organization,organization,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Paris radio research club, renamed from the Studio d'Essai in 1946, where Pierre Schaeffer began musique concrète.",content/library/organization/club-d-essai/index.md
cnmat,CNMAT,organization,organization,retain,high,sound|computation|perception,sound|computation|perception,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","UC Berkeley's Center for New Music and Audio Technologies, founded 1989, co-developer of Open Sound Control.",content/library/organization/cnmat/index.md
